,Precision,Recall
107,0.7576585365853659,1.0
108,0.7578064012490242,1.0
109,0.757954323638493,1.0
110,0.7581023037875829,1.0
111,0.7582503417301308,1.0
112,0.7583984375,1.0
113,0.7585465911310803,1.0
114,0.758694802657288,1.0
115,0.758843072112566,1.0
116,0.7589913995308835,1.0
117,0.7591397849462366,1.0
118,0.7592882283926476,1.0
119,0.7594367299041659,1.0
120,0.759585289514867,1.0
121,0.7597339072588535,1.0
122,0.7598825831702544,1.0
123,0.7600313172832257,1.0
124,0.7601801096319499,1.0
125,0.7603289602506363,1.0
126,0.7604778691735213,1.0
127,0.7606268364348677,1.0
128,0.7607758620689655,1.0
129,0.7609249461101313,1.0
130,0.7610740885927088,1.0
131,0.7612232895510684,1.0
132,0.7613725490196078,1.0
133,0.7615218670327515,1.0
134,0.761671243624951,1.0
135,0.7618206788306847,1.0
136,0.7619701726844584,1.0
137,0.7621197252208047,1.0
138,0.7622693364742835,1.0
139,0.7624190064794817,1.0
140,0.7625687352710133,1.0
141,0.7627185228835199,1.0
142,0.7628683693516699,1.0
143,0.7630182747101592,1.0
144,0.7631682389937107,1.0
145,0.7633182622370749,1.0
146,0.7634683444750295,1.0
147,0.7636184857423796,1.0
148,0.7637686860739575,1.0
149,0.7639189455046232,1.0
150,0.7640692640692641,1.0
151,0.7642196418027948,1.0
152,0.7643700787401575,1.0
153,0.7645205749163221,1.0
154,0.764671130366286,1.0
155,0.7648217451250738,1.0
156,0.7649724192277384,1.0
157,0.7651231527093596,1.0
158,0.7652739456050454,1.0
159,0.765424797949931,1.0
160,0.7655757097791798,1.0
161,0.7657266811279827,1.0
162,0.7658777120315582,1.0
163,0.7660288025251529,1.0
164,0.766179952644041,1.0
165,0.7663311624235247,1.0
166,0.7664824318989341,1.0
167,0.7666337611056269,1.0
168,0.766785150078989,1.0
169,0.7669365988544341,1.0
170,0.7670881074674042,1.0
171,0.767239675953369,1.0
172,0.7673913043478261,1.0
173,0.7675429926863017,1.0
174,0.7676947410043495,1.0
175,0.7678465493375519,1.0
176,0.767998417721519,1.0
177,0.7681503461918893,1.0
178,0.7683023347843293,1.0
179,0.768454383534534,1.0
180,0.7686064924782264,1.0
181,0.7687586616511581,1.0
182,0.7689108910891089,1.0
183,0.7690631808278867,1.0
184,0.7692155309033281,1.0
185,0.7693679413512978,1.0
186,0.7695204122076893,1.0
187,0.7696729435084242,1.0
188,0.7698255352894529,1.0
189,0.769978187586754,1.0
190,0.7701309004363348,1.0
191,0.7702836738742314,1.0
192,0.770436507936508,1.0
193,0.7705894026592578,1.0
194,0.7707423580786026,1.0
195,0.7708953742306929,1.0
196,0.7710484511517077,1.0
197,0.7712015888778551,1.0
198,0.7713547874453714,1.0
199,0.7715080468905225,1.0
200,0.7716613672496025,1.0
201,0.7718147485589346,1.0
202,0.7719681908548708,1.0
203,0.7721216941737921,1.0
204,0.7722752585521082,1.0
205,0.7724288840262582,1.0
206,0.7725825706327099,1.0
207,0.7727363184079602,1.0
208,0.772890127388535,1.0
209,0.7730439976109894,1.0
210,0.7731979291119077,1.0
211,0.7733519219279028,1.0
212,0.7735059760956176,1.0
213,0.7736600916517234,1.0
214,0.7738142686329215,1.0
215,0.7739685070759418,1.0
216,0.7741228070175439,1.0
217,0.7742771684945164,1.0
218,0.7744315915436777,1.0
219,0.7745860762018751,1.0
220,0.7747406225059856,1.0
221,0.7748952304929155,1.0
222,0.7750499001996008,1.0
223,0.7752046316630066,1.0
224,0.7753594249201278,1.0
225,0.7755142800079888,1.0
226,0.7756691969636437,1.0
227,0.7758241758241758,1.0
228,0.7759792166266987,1.0
229,0.776134319408355,1.0
230,0.7762894842063175,1.0
231,0.7764447110577885,1.0
232,0.7766,1.0
233,0.7767553510702141,1.0
234,0.7769107643057223,1.0
235,0.7770662397438463,1.0
236,0.7772217774219375,1.0
237,0.7773773773773773,1.0
238,0.7775330396475771,1.0
239,0.777688764269978,1.0
240,0.7778445512820513,1.0
241,0.7780004007212984,1.0
242,0.7781563126252505,1.0
243,0.7783122870314693,1.0
244,0.7784683239775461,1.0
245,0.7786244235011028,1.0
246,0.7787805856397915,1.0
247,0.7789368104312939,1.0
248,0.7790930979133226,1.0
249,0.7792494481236203,1.0
250,0.7794058610999599,1.0
251,0.7795623368801445,1.0
252,0.779718875502008,1.0
253,0.7798754770034143,1.0
254,0.780032141422258,1.0
255,0.7801888687964638,1.0
256,0.7803456591639871,1.0
257,0.7805025125628141,1.0
258,0.780659429030961,1.0
259,0.7808164086064749,1.0
260,0.7809734513274337,1.0
261,0.7811305572319452,1.0
262,0.7812877263581489,1.0
263,0.7814449587442142,1.0
264,0.7816022544283414,1.0
265,0.7817596134487619,1.0
266,0.7819170358437374,1.0
267,0.7820745216515609,1.0
268,0.782232070910556,1.0
269,0.7823896836590771,1.0
270,0.7825473599355098,1.0
271,0.7827050997782705,1.0
272,0.7828629032258064,1.0
273,0.7830207703165961,1.0
274,0.7831787010891489,1.0
275,0.7833366955820052,1.0
276,0.7834947538337369,1.0
277,0.7836528758829465,1.0
278,0.7838110617682681,1.0
279,0.7839693115283667,1.0
280,0.7841276252019386,1.0
281,0.7842860028277115,1.0
282,0.7844444444444445,1.0
283,0.7846029500909275,1.0
284,0.7847615198059822,1.0
285,0.7849201536284617,1.0
286,0.7850788515972503,1.0
287,0.7852376137512639,1.0
288,0.7853964401294499,1.0
289,0.785555330770787,1.0
290,0.7857142857142857,1.0
291,0.7858733049989881,1.0
292,0.7860323886639676,1.0
293,0.7861915367483296,1.0
294,0.7863507492912111,1.0
295,0.7865100263317805,1.0
296,0.7866693679092382,1.0
297,0.7868287740628166,1.0
298,0.7869882448317795,1.0
299,0.7871477802554226,1.0
300,0.7873073803730738,1.0
301,0.7874670452240925,1.0
302,0.7876267748478701,1.0
303,0.7877865692838304,1.0
304,0.7879464285714286,1.0
305,0.7881063527501522,1.0
306,0.7882663418595209,1.0
307,0.7884263959390863,1.0
308,0.7885865150284321,1.0
309,0.7887466991671744,1.0
310,0.7889069483949614,1.0
311,0.7890672627514733,1.0
312,0.7892276422764227,1.0
313,0.7893880870095548,1.0
314,0.7895485969906466,1.0
315,0.7897091722595079,1.0
316,0.7898698128559805,1.0
317,0.7900305188199389,1.0
318,0.7901912901912902,1.0
319,0.7903521270099736,1.0
320,0.7905130293159609,1.0
321,0.7906739971492568,1.0
322,0.7908350305498981,1.0
323,0.7909961295579547,1.0
324,0.791157294213529,1.0
325,0.7913185245567557,1.0
326,0.7914798206278026,1.0
327,0.7916411824668705,1.0
328,0.7918026101141925,1.0
329,0.7919641036100347,1.0
330,0.792125662994696,1.0
331,0.7922872883085085,1.0
332,0.7924489795918367,1.0
333,0.7926107368850785,1.0
334,0.7927725602286647,1.0
335,0.792934449663059,1.0
336,0.7928921568627451,0.9997424671645635
337,0.7930541368743615,0.9997424671645635
338,0.793216183081324,0.9997424671645635
339,0.7933782955242182,0.9997424671645635
340,0.7935404742436631,0.9997424671645635
341,0.7937027192803108,0.9997424671645635
342,0.7938650306748466,0.9997424671645635
343,0.7940274084679894,0.9997424671645635
344,0.794189852700491,0.9997424671645635
345,0.7943523634131369,0.9997424671645635
346,0.7945149406467458,0.9997424671645635
347,0.79467758444217,0.9997424671645635
348,0.7948402948402948,0.9997424671645635
349,0.7950030718820398,0.9997424671645635
350,0.7951659156083573,0.9997424671645635
351,0.7953288260602336,0.9997424671645635
352,0.7954918032786885,0.9997424671645635
353,0.7956548473047755,0.9997424671645635
354,0.7958179581795818,0.9997424671645635
355,0.795981135944228,0.9997424671645635
356,0.7961443806398687,0.9997424671645635
357,0.7963076923076923,0.9997424671645635
358,0.7964710709889208,0.9997424671645635
359,0.7966345167248102,0.9997424671645635
360,0.7967980295566502,0.9997424671645635
361,0.7969616095257648,0.9997424671645635
362,0.7971252566735113,0.9997424671645635
363,0.7972889710412816,0.9997424671645635
364,0.7974527526705012,0.9997424671645635
365,0.7976166016026299,0.9997424671645635
366,0.7977805178791615,0.9997424671645635
367,0.7979445015416239,0.9997424671645635
368,0.798108552631579,0.9997424671645635
369,0.7982726711906231,0.9997424671645635
370,0.7984368572603867,0.9997424671645635
371,0.7986011108825345,0.9997424671645635
372,0.7987654320987654,0.9997424671645635
373,0.7989298209508129,0.9997424671645635
374,0.7990942774804446,0.9997424671645635
375,0.7992588017294626,0.9997424671645635
376,0.7994233937397035,0.9997424671645635
377,0.7995880535530381,0.9997424671645635
378,0.799752781211372,0.9997424671645635
379,0.7999175767566453,0.9997424671645635
380,0.8000824402308326,0.9997424671645635
381,0.8002473716759431,0.9997424671645635
382,0.8004123711340206,0.9997424671645635
383,0.8005774386471437,0.9997424671645635
384,0.8007425742574258,0.9997424671645635
385,0.8009077780070146,0.9997424671645635
386,0.8010730499380933,0.9997424671645635
387,0.8012383900928792,0.9997424671645635
388,0.8014037985136251,0.9997424671645635
389,0.8015692752426182,0.9997424671645635
