,FPR,TPR
321,0.008895478131949592,0.8163790883337626
322,0.008895478131949592,0.836981715168684
323,0.009636767976278725,0.836981715168684
324,0.009636767976278725,0.8416173062065413
325,0.010378057820607857,0.8416173062065413
326,0.010378057820607857,0.8436775688900334
327,0.01111934766493699,0.8436775688900334
328,0.01111934766493699,0.8560391449909863
329,0.011860637509266123,0.8560391449909863
330,0.011860637509266123,0.8609322688642802
331,0.012601927353595256,0.8609322688642802
332,0.012601927353595256,0.8640226628895185
333,0.013343217197924388,0.8640226628895185
334,0.013343217197924388,0.8678856554210662
335,0.014084507042253521,0.8678856554210662
336,0.014084507042253521,0.8681431882565027
337,0.014825796886582653,0.8681431882565027
338,0.014825796886582653,0.8696883852691218
339,0.01630837657524092,0.8696883852691218
340,0.01630837657524092,0.8714911151171775
341,0.01704966641957005,0.8714911151171775
342,0.01704966641957005,0.8735513778006696
343,0.017790956263899184,0.8735513778006696
344,0.017790956263899184,0.8774143703322174
345,0.01927353595255745,0.8774143703322174
346,0.01927353595255745,0.8779294360030904
347,0.02001482579688658,0.8779294360030904
348,0.02001482579688658,0.8830800927118208
349,0.020756115641215715,0.8830800927118208
350,0.020756115641215715,0.8838526912181303
351,0.021497405485544848,0.8838526912181303
352,0.021497405485544848,0.8848828225598764
353,0.02223869532987398,0.8848828225598764
354,0.02223869532987398,0.8877156837496781
355,0.023721275018532245,0.8877156837496781
356,0.023721275018532245,0.8879732165851146
357,0.02446256486286138,0.8879732165851146
358,0.02446256486286138,0.8954416688127737
359,0.025203854707190512,0.8954416688127737
360,0.025203854707190512,0.8975019314962658
361,0.025945144551519646,0.8975019314962658
362,0.025945144551519646,0.8982745300025753
363,0.026686434395848776,0.8982745300025753
364,0.026686434395848776,0.9031676538758692
365,0.02742772424017791,0.9031676538758692
366,0.02742772424017791,0.9036827195467422
367,0.02742772424017791,0.9041977852176153
368,0.02742772424017791,0.9054854493947978
369,0.028169014084507043,0.9054854493947978
370,0.028169014084507043,0.9067731135719804
371,0.028910303928836176,0.9067731135719804
372,0.028910303928836176,0.9072881792428534
373,0.029651593773165306,0.9072881792428534
374,0.029651593773165306,0.9093484419263456
375,0.029651593773165306,0.9098635075972187
376,0.029651593773165306,0.9116662374452743
377,0.03039288361749444,0.9116662374452743
378,0.03039288361749444,0.9147566314705124
379,0.031134173461823574,0.9147566314705124
380,0.031134173461823574,0.9199072881792428
381,0.03187546330615271,0.9199072881792428
382,0.03187546330615271,0.9211949523564255
383,0.033358042994810974,0.9211949523564255
384,0.033358042994810974,0.9227401493690446
385,0.0340993328391401,0.9227401493690446
386,0.0340993328391401,0.9232552150399176
387,0.034840622683469234,0.9232552150399176
388,0.034840622683469234,0.9242853463816637
389,0.03558191252779837,0.9242853463816637
390,0.03558191252779837,0.9250579448879732
391,0.037064492216456635,0.9250579448879732
392,0.037064492216456635,0.9253154777234097
393,0.03780578206078577,0.9253154777234097
394,0.03780578206078577,0.9266031419005923
395,0.0385470719051149,0.9266031419005923
396,0.0385470719051149,0.9276332732423384
397,0.039288361749444035,0.9276332732423384
398,0.039288361749444035,0.929436003090394
399,0.04002965159377316,0.929436003090394
400,0.04002965159377316,0.9361318568117435
401,0.040770941438102296,0.9361318568117435
402,0.040770941438102296,0.93638938964718
403,0.04151223128243143,0.93638938964718
404,0.04151223128243143,0.9381921194952356
405,0.04225352112676056,0.9381921194952356
406,0.04225352112676056,0.9405099150141643
407,0.042994810971089696,0.9405099150141643
408,0.042994810971089696,0.9420551120267834
409,0.04373610081541883,0.9420551120267834
